===== Pretest calibration commands =====
n -> neutral pose capture
f -> flex straight capture
b -> flex bent capture
1 -> select HALF_RAISED action
2 -> select PICKING action
s -> start trial
e -> end trial
a -> accept last ended trial
r -> reject last ended trial
h -> help
NEUTRAL_START
DATA,37352,FLEX_BENT,0,NONE,0.778,0.187,-0.668,-5.031,0.885,2.405,-0.186,-0.249,-0.862,0.176,-2.137,2.710,103.16,133.89,1722,0.0,0,0
DATA,37427,FLEX_BENT,0,NONE,0.779,0.185,-0.670,-4.626,-0.038,0.137,-0.184,-0.249,-0.867,1.122,-1.527,1.229,103.86,134.58,1725,0.0,0,0
DATA,37502,FLEX_BENT,0,NONE,0.783,0.182,-0.662,-4.588,0.542,1.260,-0.189,-0.245,-0.865,0.336,-1.954,1.641,103.01,134.13,1726,0.0,0,0
DATA,37577,FLEX_BENT,0,NONE,0.787,0.182,-0.662,-3.443,1.092,1.366,-0.189,-0.243,-0.866,-0.931,-1.985,1.649,103.35,134.65,1728,0.0,0,0
DATA,37652,FLEX_BENT,0,NONE,0.778,0.186,-0.672,-2.885,1.405,3.099,-0.186,-0.252,-0.864,-2.473,-1.809,2.382,103.57,134.19,1729,0.0,0,0
DATA,37727,FLEX_BENT,0,NONE,0.780,0.189,-0.666,-4.015,0.626,3.031,-0.188,-0.253,-0.865,-1.298,-1.069,3.015,102.88,134.78,1730,0.0,0,0
DATA,37802,FLEX_BENT,0,NONE,0.783,0.188,-0.666,-5.290,0.466,2.679,-0.189,-0.255,-0.863,-0.183,-1.267,3.168,103.24,134.15,1730,0.0,0,0
DATA,37877,FLEX_BENT,0,NONE,0.790,0.184,-0.659,-4.977,0.191,1.427,-0.198,-0.251,-0.860,-0.115,-1.229,2.145,102.33,133.24,1729,0.0,0,0
DATA,37952,FLEX_BENT,0,NONE,0.792,0.183,-0.668,-3.771,0.351,2.328,-0.200,-0.247,-0.867,-0.718,-1.115,2.099,103.03,134.15,1732,0.0,0,0
DATA,38027,FLEX_BENT,0,NONE,0.786,0.186,-0.658,-3.504,1.122,1.397,-0.199,-0.250,-0.864,-1.122,-1.824,1.756,102.19,133.31,1732,0.0,0,0
DATA,38102,FLEX_BENT,0,NONE,0.794,0.186,-0.662,-2.458,1.038,2.374,-0.202,-0.251,-0.867,-2.359,-1.084,1.893,102.66,134.16,1734,0.0,0,0
DATA,38177,FLEX_BENT,0,NONE,0.769,0.186,-0.659,-3.122,1.000,-0.053,-0.187,-0.258,-0.846,-0.565,-1.931,0.466,103.24,133.89,1736,0.0,0,0
DATA,38252,FLEX_BENT,0,NONE,0.797,0.169,-0.691,-5.122,2.053,-3.214,-0.183,-0.244,-0.888,2.885,-4.511,-0.397,103.42,134.43,1734,0.0,0,0
DATA,38327,FLEX_BENT,0,NONE,0.763,0.195,-0.678,-10.702,-1.374,-1.397,-0.166,-0.272,-0.868,6.038,-0.725,3.000,103.94,134.43,1736,0.0,0,0
DATA,38402,FLEX_BENT,0,NONE,0.752,0.190,-0.698,-11.931,-10.015,7.908,-0.151,-0.271,-0.874,5.626,8.939,9.962,105.19,135.56,1736,0.0,0,0
DATA,38477,FLEX_BENT,0,NONE,0.775,0.209,-0.680,-17.710,-11.718,7.893,-0.180,-0.286,-0.865,9.985,11.511,13.168,104.87,134.85,1735,0.0,0,0
DATA,38552,FLEX_BENT,0,NONE,0.773,0.240,-0.629,-33.389,-2.618,7.084,-0.214,-0.314,-0.796,24.771,4.573,19.511,103.68,133.15,1735,0.0,0,0
DATA,38627,FLEX_BENT,0,NONE,0.775,0.208,-0.500,-55.687,36.748,14.405,-0.287,-0.271,-0.677,34.237,-15.527,25.870,99.23,129.81,1733,0.0,0,0
DATA,38702,FLEX_BENT,0,NONE,0.794,0.204,-0.526,-69.580,73.267,3.084,-0.260,-0.297,-0.695,26.954,-44.626,31.298,92.24,124.73,1727,0.0,0,0
DATA,38777,FLEX_BENT,0,NONE,0.978,0.131,-0.538,-64.458,147.550,-15.298,-0.297,-0.335,-0.844,37.351,-68.519,38.947,80.80,119.20,1725,0.0,0,0
DATA,38852,FLEX_BENT,0,NONE,1.041,0.383,-0.234,-70.511,109.550,-3.931,-0.451,-0.386,-0.740,23.000,-53.344,28.374,71.45,113.72,1726,0.0,0,0
DATA,38927,FLEX_BENT,0,NONE,0.982,0.352,-0.118,-31.053,38.153,9.244,-0.520,-0.444,-0.716,14.351,-33.160,18.122,68.61,110.10,1729,0.0,0,0
DATA,39002,FLEX_BENT,0,NONE,0.982,0.332,-0.094,-17.603,22.244,6.046,-0.547,-0.431,-0.719,1.992,-16.664,10.893,67.39,108.48,1729,0.0,0,0
DATA,39077,FLEX_BENT,0,NONE,0.981,0.333,-0.095,-5.137,7.870,5.336,-0.506,-0.417,-0.673,-3.069,0.580,2.733,67.39,109.35,1732,0.0,0,0
DATA,39152,FLEX_BENT,0,NONE,0.969,0.326,-0.076,-0.664,1.489,5.733,-0.495,-0.410,-0.649,-5.748,2.267,-0.534,67.88,109.92,1735,0.0,0,0
DATA,39227,FLEX_BENT,0,NONE,0.965,0.323,-0.068,-2.649,2.985,4.412,-0.504,-0.406,-0.635,-4.321,-1.542,0.076,68.30,109.09,1736,0.0,0,0
FLEX_BENT_END,1737
ACTION_SET,HALF_RAISED
TRIAL_START,HALF_RAISED,1
DATA,59023,TRIAL,1,HALF_RAISED,0.949,0.378,0.055,-13.038,-6.046,2.534,-0.859,-0.378,-0.169,6.870,6.985,6.214,95.23,76.03,1846,180.0,0,0
DATA,59075,TRIAL,1,HALF_RAISED,0.944,0.371,0.060,-14.115,-6.321,-0.107,-0.844,-0.371,-0.167,8.107,2.809,3.595,96.09,75.65,1846,180.0,0,0
DATA,59127,TRIAL,1,HALF_RAISED,0.940,0.362,0.059,-8.992,-5.206,-2.214,-0.851,-0.362,-0.161,4.962,-0.305,-0.977,96.54,75.02,1847,180.0,0,0
DATA,59179,TRIAL,1,HALF_RAISED,0.952,0.358,0.050,0.366,-3.840,-2.351,-0.857,-0.351,-0.176,-2.534,-3.038,-3.473,96.64,74.82,1847,180.0,0,0
DATA,59231,TRIAL,1,HALF_RAISED,0.956,0.347,0.045,-0.427,-2.443,-2.122,-0.860,-0.337,-0.182,-2.031,-4.977,-2.267,96.64,75.15,1851,180.0,0,0
DATA,59283,TRIAL,1,HALF_RAISED,0.962,0.350,0.035,-7.954,-4.374,-4.206,-0.857,-0.354,-0.190,3.527,-5.763,-0.382,96.96,75.36,1851,180.0,0,0
